Index,Date,Legacy Fixtures (V1 Archive),Competition,Home,Away,FT_Score,Signal,Bookmaker,Odds,Conviction,Allocation,Settlement,Net_PnL,Commit_Hash,赛后结算,Line Mvmt,Metrics,Turnover,Cum PnL,实时 Yield%,ROI%,按钮,Markdown 生成
1,2026年7月5日,# predict-ledger,,,,,,,,,,,,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/55502bd1883ae23ae33debe3ff7708de39d6d30d,,,,,,,-1,Yes,"2026-07-05,,,,Pending,,,,Pending,-,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/55502bd1883ae23ae33debe3ff7708de39d6d30d"
2,2026年7月5日,静态数据结构预测账本 - 时间戳防伪存证存根,,,,,,,,,,,,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/55502bd1883ae23ae33debe3ff7708de39d6d30d,,,,,,,-1,Yes,"2026-07-05,,,,Pending,,,,Pending,-,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/55502bd1883ae23ae33debe3ff7708de39d6d30d"
3,2026年7月5日,FC首尔vs仁川联队,KOR1 韩职联,SEO 首尔FC,INC 仁川联,,欧赔,,1.87,1% 稳健仓,1,Win,0.87,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🟢 绿色 (W),市场强拉平衡,拉锯均势死锁,1,1.87,87%,0.87,No,"2026-07-05,KOR1,SEO,INC,Pending,欧赔,1.87,1,Win,0.87,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
4,2026年7月5日,金泉尚武vs济州SK,KOR1 韩职联,GIM 金泉尚武,JEJ 济州联,,欧赔,,2.81,2% 核心仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),让步过浅,主场虫/客场龙,3,0.87,-4.3333333333%,-0.13,No,"2026-07-05,KOR1,GIM,JEJ,Pending,欧赔,2.81,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
5,2026年7月5日,光州FCvs蔚山HD,KOR1 韩职联,GWA 光州FC,ULS 蔚山HD,,亚盘,,0.88,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),深盘阻大,拉锯均势死锁,4,-0.13,-28.25%,-1.13,No,"2026-07-05,KOR1,GWA,ULS,Pending,亚盘,0.88,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
6,2026年7月5日,金海FCvs首尔衣恋,KOR2 韩K2联,GMH 金海市厅,SEL 首尔衣恋,,欧赔,,4.2,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),阻下诱上,无,5,-1.13,-42.6%,-2.13,No,"2026-07-05,KOR2,GMH,SEL,Pending,欧赔,4.2,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
7,2026年7月5日,金浦FCvs忠南牙山FC,KOR2 韩K2联,GMP 金浦FC,ASA 忠南牙山,,欧赔,,1.81,2% 核心仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),市场强拉平衡,主场龙/客场虫,7,-2.13,-44.7142857143%,-3.13,No,"2026-07-05,KOR2,GMP,ASA,Pending,欧赔,1.81,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
8,2026年7月5日,庆南FCvs天安城,KOR1 韩职联,GYE 庆南FC,CHE 天安城,,欧赔,,2.67,2% 核心仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),让步过浅,主场龙/客场虫,9,-3.13,-45.8888888889%,-4.13,No,"2026-07-05,KOR1,GYE,CHE,Pending,欧赔,2.67,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
9,2026年7月5日,全南天龙vs釜山IPark,KOR2 韩K2联,JEO 全南天龙,BUS 釜山偶像,,欧赔,,2.76,2% 核心仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/9740ce4638b4a2308616c147bb19441a9eed19eb,🔴 红色 (L),阻下诱上,主场虫/客场龙,11,-4.13,-46.6363636364%,-5.13,No,"2026-07-05,KOR2,JEO,BUS,Pending,欧赔,2.76,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/9740ce4638b4a2308616c147bb19441a9eed19eb"
10,2026年7月7日,赫根vs佐加顿斯,SWE1 瑞典超,HAC 赫根,DJU 尤尔加登,,欧赔,,2.36,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🔴 红色 (L),阻上诱下,拉锯均势死锁,12,-5.13,-51.0833333333%,-6.13,No,"2026-07-07,SWE1,HAC,DJU,Pending,欧赔,2.36,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
